Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
31582;1.906987;15.0264;1.5319;0.1918;342.5000;35.2819;6.4590;True;True;-0.0846;1.1736;-0.8813;336.7479;176.0704;14.9754;2.6180;0.8933;1.9514;0.0000;True;True;0.7806;1.6279;-0.6655;331.7163;50.2122;38.0722;7.0158;2.3129;-2.4549;0.0000;
31584;1.935154;15.0311;1.5371;0.2461;339.1659;36.1633;5.6030;True;True;-0.0620;1.1797;-0.8569;338.7903;180.6494;15.9804;2.1212;0.5228;2.6151;0.0000;True;True;0.8444;1.6478;-0.6911;340.2954;56.2756;33.8487;5.9835;1.8628;-2.5449;0.0000;
31586;1.962928;15.0367;1.5413;0.2961;340.2077;37.4938;4.9937;True;True;-0.0423;1.1847;-0.8261;340.1626;183.1933;18.3260;1.9495;0.6268;3.3165;0.0000;True;True;0.8973;1.6623;-0.7242;340.9489;53.1050;31.6543;5.2804;1.3699;-3.4410;0.0000;
31588;1.990283;15.0463;1.5525;0.3459;341.9854;38.9430;4.4489;True;True;-0.0261;1.1901;-0.7936;341.0583;184.6090;23.0124;1.4603;0.5291;3.1037;0.0000;True;True;0.9489;1.6776;-0.7576;342.8824;61.4545;25.3546;4.9866;1.6537;-3.1467;0.0000;
31590;2.018624;15.0593;1.5751;0.3929;339.2369;39.7913;5.8038;True;True;-0.0164;1.1974;-0.7658;347.2337;188.4296;24.0481;0.8459;0.8396;2.6627;0.0000;True;True;0.9860;1.6965;-0.7817;346.9018;62.3864;24.1659;3.3497;2.0650;-2.2518;0.0000;
31592;2.046678;15.0687;1.6003;0.4336;339.2251;41.9392;3.7088;True;True;-0.0064;1.2064;-0.7437;354.7758;197.1117;23.8486;1.1846;0.7439;2.1618;0.0000;True;True;1.0120;1.7237;-0.8011;346.0714;59.5136;23.9757;2.2842;2.8205;-1.7860;0.0000;
31594;2.074343;15.0782;1.6295;0.4707;340.2848;42.8828;4.1001;True;True;0.0071;1.2122;-0.7182;359.3677;201.2387;28.1730;1.3365;0.5776;2.6243;0.0000;True;True;1.0302;1.7512;-0.8231;337.0865;55.1955;30.0789;1.9178;2.6299;-2.2029;0.0000;
31596;2.102166;15.0880;1.6584;0.5067;339.3452;43.7492;4.7805;True;True;0.0216;1.2193;-0.6911;1.5277;204.6056;33.0319;1.4784;0.7506;2.6920;0.0000;True;True;1.0585;1.7754;-0.8442;331.2044;47.8381;34.7063;3.2051;2.2501;-2.1712;0.0000;
31598;2.130362;15.0981;1.6850;0.5412;338.4500;44.6833;5.0755;True;True;0.0367;1.2266;-0.6640;5.0257;210.9743;31.4293;1.5244;0.6480;2.7304;0.0000;True;True;1.0901;1.7974;-0.8602;331.0843;39.3668;31.8800;2.9318;2.0229;-1.3723;0.0000;
31600;2.158025;15.1076;1.7064;0.5753;336.9034;44.9662;4.9599;True;True;0.0557;1.2285;-0.6364;10.9885;217.0079;23.8972;2.0259;0.0201;2.7245;0.0000;True;True;1.1212;1.8146;-0.8695;337.7709;29.6208;39.3583;3.2972;1.6151;-0.9805;0.0000;
